"De","Para"
"C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civil\Sentenca Acao Imissao Posse 2009.38.00.010240-6 CEF x Barros 2009.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Imissao Posse 2009.38.00.010240-6 CEF x Barros 2009.doc"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Edital leilao falencia ICC Incorporacao Comercio Construcoes Ltda.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Edital leilao falencia ICC Incorporacao Comercio Construcoes Ltda.doc"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (2).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (2).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (3).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (3).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (4).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (4).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (5).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (5).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (6).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (6).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (7).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (7).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014 (8).txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014 (8).txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Comercial\Protesto titulo duplicata venda 2014.txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Empresarial\Protesto titulo duplicata venda 2014.txt"
"C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Processual\Embargos declaracao Empresa Brasileira Correios Telegrafos acao cobranca.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Outros\Embargos declaracao Empresa Brasileira Correios Telegrafos acao cobranca.doc"
"C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Educacao\Parecer CNE CES 492 2001 diretrizes curriculares filosofia historia geografia.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Outros\Parecer CNE CES 492 2001 diretrizes curriculares filosofia historia geografia.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11590 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11590 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11651 Marajinho Agro Industr 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11651 Marajinho Agro Industr 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11678 Marajinho Agro Industr 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11678 Marajinho Agro Industr 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11680 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11680 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11715 Marajinho Agro Industr 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11715 Marajinho Agro Industr 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11766 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11766 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11784 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11784 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11790 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11790 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11800 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11800 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11804 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11804 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11817 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11817 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Intimacao protesto cartorio Brazopolis apontamento 11827 Marajinho Agroindustrial 2015.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Intimacao protesto cartorio Brazopolis apontamento 11827 Marajinho Agroindustrial 2015.pdf"
"C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Comercial\Protesto duplicata 2327A 351 reais Caixa Economica 10 janeiro 2014.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Empresarial\Protesto duplicata 2327A 351 reais Caixa Economica 10 janeiro 2014.doc"
