"De","Para"
"C:\Users\mauri\OneDrive\Documentos\OAB","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\OAB"
"C:\Users\mauri\OneDrive\Documentos\CIRURGIA","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\CIRURGIA"
"C:\Users\mauri\OneDrive\Documentos\DENTISTA","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\DENTISTA"
"C:\Users\mauri\OneDrive\Documentos\OFTALMO","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\OFTALMO"
"C:\Users\mauri\OneDrive\Documentos\FITNESS","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS"
"C:\Users\mauri\OneDrive\Documentos\REEMBOLSO","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\REEMBOLSO"
"C:\Users\mauri\OneDrive\Documentos\BRB","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\BRB"
"C:\Users\mauri\OneDrive\Documentos\CEF","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CEF"
"C:\Users\mauri\OneDrive\Documentos\CONTAS","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS"
"C:\Users\mauri\OneDrive\Documentos\IRPF","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF"
"C:\Users\mauri\OneDrive\Documentos\SEGUROS","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS"
"C:\Users\mauri\OneDrive\Documentos\MOBILLS","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\MOBILLS"
"C:\Users\mauri\OneDrive\Documentos\VIVARA","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\VIVARA"
"C:\Users\mauri\OneDrive\Documentos\CONSÓRCIO","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONSÓRCIO"
"C:\Users\mauri\OneDrive\Documentos\APTO 216 NORTE","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE"
"C:\Users\mauri\OneDrive\Documentos\APTO 409 SUL","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL"
"C:\Users\mauri\OneDrive\Documentos\APTO SQSW 105","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO SQSW 105"
"C:\Users\mauri\OneDrive\Documentos\IMÓVEL CEF","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\IMÓVEL CEF"
"C:\Users\mauri\OneDrive\Documentos\MYKONOS","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS"
"C:\Users\mauri\OneDrive\Documentos\POUPEX","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\POUPEX"
"C:\Users\mauri\OneDrive\Documentos\REURB","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\REURB"
"C:\Users\mauri\OneDrive\Documentos\TSE","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE"
"C:\Users\mauri\OneDrive\Documentos\CONLE","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE"
"C:\Users\mauri\OneDrive\Documentos\Cadeiras TSE","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Cadeiras TSE"
"C:\Users\mauri\OneDrive\Documentos\TOTALIZAÇÃO","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO"
"C:\Users\mauri\OneDrive\Documentos\Propaganda eleitoral","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Propaganda eleitoral"
"C:\Users\mauri\OneDrive\Documentos\TCE_MS","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TCE_MS"
"C:\Users\mauri\OneDrive\Documentos\PROCESSOS","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROCESSOS"
"C:\Users\mauri\OneDrive\Documentos\GUILLON","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\GUILLON"
"C:\Users\mauri\OneDrive\Documentos\INVENTÁRIO","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\INVENTÁRIO"
"C:\Users\mauri\OneDrive\Documentos\LE","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\LE"
"C:\Users\mauri\OneDrive\Documentos\PROBLEMA AEED","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROBLEMA AEED"
"C:\Users\mauri\OneDrive\Documentos\1_CONCURSOS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS"
"C:\Users\mauri\OneDrive\Documentos\TESE","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE"
"C:\Users\mauri\OneDrive\Documentos\ITALIANO","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ITALIANO"
"C:\Users\mauri\OneDrive\Documentos\EsPCEx","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\EsPCEx"
"C:\Users\mauri\OneDrive\Documentos\MAPAS DA LULU","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\MAPAS DA LULU"
"C:\Users\mauri\OneDrive\Documentos\AULAS DO YOUTUBE","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\AULAS DO YOUTUBE"
"C:\Users\mauri\OneDrive\Documentos\My Kindle Content","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content"
"C:\Users\mauri\OneDrive\Documentos\ENFAM","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ENFAM"
"C:\Users\mauri\OneDrive\Documentos\VIAGENS","C:\Users\mauri\OneDrive\Documentos\07 - Viagens\VIAGENS"
"C:\Users\mauri\OneDrive\Documentos\CRUZE","C:\Users\mauri\OneDrive\Documentos\08 - Veículos\CRUZE"
"C:\Users\mauri\OneDrive\Documentos\REVISÕES","C:\Users\mauri\OneDrive\Documentos\08 - Veículos\REVISÕES"
"C:\Users\mauri\OneDrive\Documentos\GARMIN","C:\Users\mauri\OneDrive\Documentos\08 - Veículos\GARMIN"
"C:\Users\mauri\OneDrive\Documentos\CASAMENTO","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\CASAMENTO"
"C:\Users\mauri\OneDrive\Documentos\CATEQUESE","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\CATEQUESE"
"C:\Users\mauri\OneDrive\Documentos\JESUS","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\JESUS"
"C:\Users\mauri\OneDrive\Documentos\MENSAGENS","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\MENSAGENS"
"C:\Users\mauri\OneDrive\Documentos\ESTUDOS ESPÍRITAS","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\ESTUDOS ESPÍRITAS"
"C:\Users\mauri\OneDrive\Documentos\CAROL","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\CAROL"
"C:\Users\mauri\OneDrive\Documentos\NOTION","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\NOTION"
"C:\Users\mauri\OneDrive\Documentos\Zoom","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\Zoom"
"C:\Users\mauri\OneDrive\Documentos\GOPRO","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\GOPRO"
"C:\Users\mauri\OneDrive\Documentos\ICONE","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\ICONE"
"C:\Users\mauri\OneDrive\Documentos\BLUETOOTH","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\BLUETOOTH"
"C:\Users\mauri\OneDrive\Documentos\CERTIFICADO DIGITAL","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\CERTIFICADO DIGITAL"
"C:\Users\mauri\OneDrive\Documentos\SENHAS","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\SENHAS"
"C:\Users\mauri\OneDrive\Documentos\Modelos Personalizados do Office","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\Modelos Personalizados do Office"
"C:\Users\mauri\OneDrive\Documentos\ARQUIVOS_n","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\ARQUIVOS_n"
"C:\Users\mauri\OneDrive\Documentos\LIXO DA VIZINHANÇA","C:\Users\mauri\OneDrive\Documentos\11 - Diversos (a revisar)\LIXO DA VIZINHANÇA"
"C:\Users\mauri\OneDrive\Documentos\ARQUIVOS","C:\Users\mauri\OneDrive\Documentos\11 - Diversos (a revisar)\ARQUIVOS"
