"De","Para"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão - Apelação Criminal 0003573-73.2022.8.01.0001 - Adelaide de Fátima G. de Oliveira - TJAC.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Acórdão - Apelação Criminal 0003573-73.2022.8.01.0001 - Adelaide de Fátima G. de Oliveira - TJAC.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão TJDFT - Apelação Criminal Flávio Dino - proc. 20120111364203APR - Pauta 2019-08-08 (OCR).pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Acórdão TJDFT - Apelação Criminal Flávio Dino - proc. 20120111364203APR - Pauta 2019-08-08 (OCR).pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão TJDFT apelação criminal 20120111364203 Flávio Dino - pauta 2019-08-08.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Acórdão TJDFT apelação criminal 20120111364203 Flávio Dino - pauta 2019-08-08.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão TSE - AgR-AI 9-24 Várzea Paulista - propaganda antecipada art. 36-A.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Acórdão TSE - AgR-AI 9-24 Várzea Paulista - propaganda antecipada art. 36-A.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Acórdão TSE - REspe 51-24.2016.6.13.0052 - propaganda eleitoral antecipada (art. 36-A) - Brumadinho.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Acórdão TSE - REspe 51-24.2016.6.13.0052 - propaganda eleitoral antecipada (art. 36-A) - Brumadinho.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\ACP 1106888-19.2025.4.01.3400 - manifestação MPF-DF CCHA - 2025-09-10.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\ACP 1106888-19.2025.4.01.3400 - manifestação MPF-DF CCHA - 2025-09-10.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\ADI 2135 - Processo legislativo e regularidade formal da EC 19 1998 - flexibilização do RJU.docx","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\ADI 2135 - Processo legislativo e regularidade formal da EC 19 1998 - flexibilização do RJU.docx"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\ADI 4851 - Parecer Prof. Floriano de Azevedo Marques Neto.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\ADI 4851 - Parecer Prof. Floriano de Azevedo Marques Neto.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\ADI 4851 - relação nominal dos 147 - petição ALBA - Ofício 010 2024.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\ADI 4851 - relação nominal dos 147 - petição ALBA - Ofício 010 2024.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Boletim Administrativo CD - licença-paternidade (nascimento Giovanna) - 2026-06-25.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\TSE\Boletim Administrativo CD - licença-paternidade (nascimento Giovanna) - 2026-06-25.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Controle de Comissionamento por Unidade FC e CJ - Justiça Eleitoral - 2024-07-19.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\TSE\Controle de Comissionamento por Unidade FC e CJ - Justiça Eleitoral - 2024-07-19.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Flávio Dino - Sentença - Ação Penal 2012.01.1.136420-3 (2ª Vara Criminal de Brasília).pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Flávio Dino - Sentença - Ação Penal 2012.01.1.136420-3 (2ª Vara Criminal de Brasília).pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Informação TJAM - processo administrativo SEI 2012378.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Informação TJAM - processo administrativo SEI 2012378.pdf"
"C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Parecer PGR - ADI 7228-DF - 2023-02-01.pdf","C:\Users\mauri\OneDrive\Documentos\05 - JurÃ­dico e trabalho\Jurisprudência e acórdãos\Parecer PGR - ADI 7228-DF - 2023-02-01.pdf"
