id|nat|tipo|materia|nomeNovo
2041|04 - Pessoal e financeiro|Comprovantes e recibos|Arquivo de log e confirmacao de remessa Itau Cartorio|log protesto titulo 109-04858197-8 Brazopolis 2015
2042|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca embargos declaracao processo 2004.38.00.024302-9 CSBM uniao IRRF
2043|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2044|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca mandado seguranca 2008.38.00.025792-6 Posto BFM FINSOCIAL
2045|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2046|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2047|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2048|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2049|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2050|01 - Juridico|Acordaos e decisoes|Previdenciario|Sentenca acao ordinaria 2007.38.00.024018-9 Pellegrina FGTS CEF
2051|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca acao anulatoria 2005.38.00.018851-6 Engenho IRPJ
2052|04 - Pessoal e financeiro|Comprovantes e recibos|Arquivo protesto SERASA Concentre Brazopolis MG
2053|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2054|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2055|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca acao ordinaria 2007.38.00.006603-2 Evaldo IRRF uniao
2056|01 - Juridico|Acordaos e decisoes|Eleitoral|Acordao embargos declaracao recurso especial eleitoral 197-70.2012.6.19.0074
2057|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca acao ordinaria 2008.38.00.024699-9 Alexandre concurso publico
2058|01 - Juridico|Acordaos e decisoes|Eleitoral|Acordao recurso especial eleitoral 5318-07.2014.6.13.0000 registro candidatura
2059|01 - Juridico|Acordaos e decisoes|Trabalhista|Sentenca acao ordinaria 2007.38.00.025072-4 seguro desemprego
2060|03 - Administrativo|Contratos e termos|Plano carreiras cargos salarios progressoes promocoes
2061|01 - Juridico|Acordaos e decisoes|Familia e Sucessoes|Sentenca acao ordinaria 2004.38.00.013766-7 Orly financiamento imobiliario CFIAe
2062|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2063|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2064|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2065|02 - Estudos e concursos|Direito Constitucional|Forum Zero Lucilene Coutinho medida provisoria
2066|01 - Juridico|Acordaos e decisoes|Empresarial|Edital leilao falencia ABMT Belo Horizonte 2011
2067|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2068|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2069|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2070|01 - Juridico|Peticoes|Penal|Denuncia processo 0317.08.097647-3 Walter Gumercindo Itabira MG
2071|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2072|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2073|01 - Juridico|Peticoes|Trabalhista|Embargos execucao processo 30238-2011-003-09-00-0 ECT Marcos Brito
2074|01 - Juridico|Acordaos e decisoes|Civel|Edital hasta publica execucao hipotecaria Belo Horizonte 2011
2075|03 - Administrativo|Oficios e memorandos|Mensagem passo a passo PGFn Tabeliao
2076|04 - Pessoal e financeiro|Documentos pessoais|Lista servidores voucher CPF RG
2077|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2078|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2079|05 - Diversos (a revisar)|Outros|arquivo tecnico ilegivel
2080|01 - Juridico|Peticoes|Trabalhista|Parecer tecnico 36686-2011-007 ECT Elizabeth execucao sentenca PCCS
