"ID","Full","Nome"
"1","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Acerto de valores da entrada.xlsx","Acerto de valores da entrada.xlsx"
"2","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Anexo A - formalização de compra e venda - Reserva Mykonos SQNW 109 unidade 505.docx","Anexo A - formalização de compra e venda - Reserva Mykonos SQNW 109 unidade 505.docx"
"3","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Anexo A - Formalização de compra e venda - Reserva Mykonos un. 505.pdf","Anexo A - Formalização de compra e venda - Reserva Mykonos un. 505.pdf"
"4","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Atualização de dados cadastrais Reserva Mykonos - UH 505 - 2026-05-22.pdf","Atualização de dados cadastrais Reserva Mykonos - UH 505 - 2026-05-22.pdf"
"5","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto - engenharia Caixa Econômica (2026-01-21).pdf","Boleto - engenharia Caixa Econômica (2026-01-21).pdf"
"6","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto - FGTS avaliação Mykonos (2026-05-14).pdf","Boleto - FGTS avaliação Mykonos (2026-05-14).pdf"
"7","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto avaliação de bens CAIXA - Mykonos - 2026-01-21 - R$ 750,00.pdf","Boleto avaliação de bens CAIXA - Mykonos - 2026-01-21 - R$ 750,00.pdf"
"8","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto avaliação funding FGTS Mykonos - venc 2026-05-21.pdf","Boleto avaliação funding FGTS Mykonos - venc 2026-05-21.pdf"
"9","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto chaves Mykonos GEOPI - R$ 325,597 - venc. 2026-05-22.pdf","Boleto chaves Mykonos GEOPI - R$ 325,597 - venc. 2026-05-22.pdf"
"10","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto custas de cartório RGI Mykonos - Uniproof - venc 2026-07-01 - R$ 3.226,98.pdf","Boleto custas de cartório RGI Mykonos - Uniproof - venc 2026-07-01 - R$ 3.226,98.pdf"
"11","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Boleto ITBI MYKONOS - nº 03 06 2026-948-0000089 - valor pactuado R$ 1.584.166,15.pdf","Boleto ITBI MYKONOS - nº 03 06 2026-948-0000089 - valor pactuado R$ 1.584.166,15.pdf"
