line,numero_processo,before,after,reason
24,0005608-67.2012.4.01.3500,Marlon Sousa,Marllon Sousa,value_override
36,1034010-24.2019.4.01.0000,Marlon Sousa (convocado),Marllon Sousa (convocado),value_override
61,0010052-94.2017.4.01.0000,des,Marcos Augusto de Sousa,proc_override_pdf
583,1038659-32.2019.4.01.0000,federal,Hércules Fajoses,proc_override_pdf
588,0020699-78.2009.4.01.3800,federal,Francisco de Assis Betti,proc_override_pdf
637,1003765-83.2017.4.01.3400,Souza,Souza Prudente,proc_override_pdf
639,0033382-51.2016.4.01.3300,federal,Carlos Augusto Pires Brandão,proc_override_pdf
720,1024715-45.2019.4.01.3400,Daniele,Daniele Maranhão Costa,proc_override_pdf
820,0000125-28.2017.4.01.3000,federal,Daniel Paes Ribeiro,proc_override_pdf
1401,1043955-64.2021.4.01.0000,federal,Néviton Guedes,proc_override_pdf
1486,1035355-88.2020.4.01.0000,Marlon Sousa (convocado),Marllon Sousa (convocado),value_override
1545,1003867-66.2021.4.01.3400,João,João Batista Gomes Moreira,proc_override_pdf
1761,1010988-29.2022.4.01.0000,federal,Wilson Alves de Souza,proc_override_pdf
1971,1014804-90.2020.4.01.3200,I'Talo Fiavoranti Sabo Mendes,I'talo Fioravanti Sabo Mendes,proc_override_pdf
2480,1002530-69.2021.4.01.3100,Hercules,Hércules Fajoses,proc_override_pdf
2844,0029389-88.2015.4.01.9199,des,Morais da Rocha,proc_override_pdf
3122,1001036-27.2021.4.01.3503,federal,Wilson Alves de Souza,proc_override_pdf
3343,1079559-03.2023.4.01.3400,juz federal Rafael Lima da Costa,Rafael Lima da Costa,proc_override_pdf
3423,0000804-53.2008.4.01.3902,Marco Augusto de Souza,Marcos Augusto de Sousa,proc_override_pdf
3478,0014901-55.2007.4.01.3300,Roberto,Roberto Carvalho Veloso,proc_override_pdf
3695,1016372-60.2019.4.01.3400,federal,Urbano Leal Berquó Neto,proc_override_pdf
3738,0007195-35.2004.4.01.3200,Antônio,Antônio Oswaldo Scarpa,proc_override_pdf
4683,1043542-80.2023.4.01.0000,Marcus Augusto de Sousa,Marcos Augusto de Sousa,proc_override_pdf
5465,0015519-28.2015.4.01.3200,Marcos,Marcos Augusto de Sousa,proc_override_pdf
5954,1001399-14.2021.4.01.3600,Morais,Morais da Rocha,proc_override_pdf
6498,1000311-23.2017.4.01.4200,des,Flávio Jardim,proc_override_pdf
7210,1054862-83.2021.4.01.3400,federalGustavo Soares Amorim,Gustavo Soares Amorim,proc_override_pdf
7241,1046793-91.2023.4.01.3400,federal,Alexandre Jorge Fontes Laranjeira,proc_override_pdf
7394,1003237-94.2019.4.01.4300,Rosana,Rosana Noya Alves Weibel Kaufmann,proc_override_pdf
7401,0001875-34.2014.4.01.3400,Roberto,Roberto Carvalho Veloso,proc_override_pdf
7528,1007974-85.2023.4.01.3303,Alexandre,Alexandre Jorge Fontes Laranjeira,proc_override_pdf
